id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao
465672;2010;RIC;4668;Solicita informações ao Senhor Ministro do Esporte sobre empenhos e pagamentos de recursos da OGU-2009 - provenientes de Emendas Parlamentares e Recursos Extras.;[('Alfredo Kaefer', 10000, 'Deputado')];923
465673;2010;RIC;4669;Solicita informações ao Senhor Ministro Integração Nacional sobre empenhos e pagamentos de recursos da OGU-2009 - provenientes de Emendas Parlamentares e Recursos Extras.;[('Alfredo Kaefer', 10000, 'Deputado')];923
465674;2010;RIC;4670;Solicita informações ao Senhor Ministro da Agricultura, Pecuária e Abastecimento  sobre empenhos e pagamentos de recursos da OGU-2009- provenientes de Emendas Parlamentares e Recursos Extras.;[('Alfredo Kaefer', 10000, 'Deputado')];923
465675;2010;PL;6737;Institui o pleno controle de instituições públicas sobre a participação financeira de empresas em campanhas eleitorais, define o teto de despesas de candidatos e partidos e cria o Fundo de Investimento de Recursos Privados para Financiamento Eleitoral - FIFE.;[('Miro Teixeira', 10000, 'Deputado')];925
465676;2010;REQ;6172;Requer convocação de Sessão Solene em homenagem à Dra. Zilda ARNS;[('Alfredo Kaefer', 10000, 'Deputado')];923
465680;2010;RIC;4671;"Solicita informações ao Sr. Ministro de Estado da Justiça, sobre relatório da Operação ""Caixa Preta"" do Departamento de  Polícia Federal que apontou  superfaturamento do Aeroporto de Vitória, no Estado do Espírito Santo.";[('Lelo Coimbra', 10000, 'Deputado')];923
465681;2010;RIC;4672;"Solicita informações ao Sr. Ministro de Estado da Defesa, sobre relatório da Operação ""Caixa Preta"" do Departamento de  Polícia Federal que apontou  superfaturamento do Aeroporto de Vitória, no Estado do Espírito Santo.";[('Lelo Coimbra', 10000, 'Deputado')];923
465682;2010;PEC;455;Dá nova redação ao caput art. 5° da Constituição Federal, para incluir o meio ambiente ecologicamente equilibrado como um direito fundamental.;[('Roberto Rocha', 10000, 'Deputado')];923
465686;2010;REQ;6173;Requer a convocação de sessão solene da Câmara dos Deputados para o dia 08 de setembro de 2010, às 10 horas.;[('Sandro Mabel', 10000, 'Deputado')];923
465687;2010;REQ;6174;"Requer urgência para apreciação do Projeto de Resolução nº 210/2009, que dá a denominação de ""Edifício Alvaro Valle"" ao Edifício do Anexo I da Câmara dos Deputados.";[('José Genoíno', 10000, 'Deputado'), ('Mendes Ribeiro Filho', 10000, 'Deputado'), ('Rodrigo Rollemberg', 10000, 'Deputado'), ('Sandro Mabel', 10000, 'Deputado')];923
465690;2010;RIC;4673;Solicita ao Exmo. Sr. Ministro do Desenvolvimento, Indústria e Comércio Exterior, Miguel João Jorge Filho, informações sobre exportação de munição.;[('Edson Duarte', 10000, 'Deputado')];923
465699;2010;PL;6738;Dá nova redação ao art. 828 do Código Civil,  Lei nº 10.406, de 10 de janeiro de 2002, dispondo sobre o benefício de ordem.;[('Pedro Novais', 10000, 'Deputado')];923
465700;2010;REQ;6175;Voto de pesar pelo falecimento da assistente social Neide Castanha.;[('Fernando Ferro', 10000, 'Deputado')];923
465701;2010;REQ;6176;"Requer ""revisão de despachos, incluindo a análise nas seguintes Comissões dos respectivos PDCs: 1- PDC 2300/2009 e PDC 159/1992 (Comissão de Finanças e Tributação, Comissão da Amazônia, Integração Nacional e de Desenvolvimento Regional, Comissão de Meio Ambiente e Desenvolvimento Sustentável) e 2- PDC 731/2000 e os apensados PDC 120/1991 e PDC 2264/2004"".";[('Zenaldo Coutinho', 10000, 'Deputado')];1285
465702;2010;REQ;6177;"Requer registro, nos Anais desta Casa, de votos de parabéns ao Diretor Márcio Freitas pelo renomada ""Revista Feijão Amigo"".";[('Eudes Xavier', 10000, 'Deputado')];923
465703;2010;REQ;6178;Requer a convocação de sessão solene da Câmara dos Deputados para o dia 29 de março de 2010, às 10 horas.;[('Luciana Costa', 10000, 'Deputado')];923
465705;2010;RIC;4674;Solicita informações ao Sr. Nelson Jobim, Ministro da Defesa, acerca da administração do Aeroporto Internacional de Salvador Deputado Luis Eduardo Magalhães.;[('José Carlos Aleluia', 10000, 'Deputado')];923
465711;2010;RIC;4675;Solicita ao Ministério de Minas e Energia (MME) informações sobre o oferecimento, por parte do Governo Federal, de algum tipo de incentivo para quem pretenda implantar indústria, que terá por objetivo despoluir o meio ambiente, como por exemplo, indústria que transforma pneus não utilizáveis em tapetes para utilização em veículos automotores.;[('Dr. Talmir', 10000, 'Deputado')];923
465712;2010;RIC;4676;Solicita ao Ministério do Meio Ambiente (MMA) informações sobre o oferecimento, por parte do Governo Federal, de algum tipo de incentivo para quem pretenda implantar indústria com objetivo de despoluir o meio ambiente.;[('Dr. Talmir', 10000, 'Deputado')];923
490402;2011;PL;8052;Dá nova redação aos arts. 530-C, 530-D, 530-F e 530-G do Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];923
490727;2011;MPV;522;Abre crédito extraordinário, em favor dos Ministérios dos Transportes e da Integração Nacional, no valor global de R$ 780.000.000,00, para os fins que especifica.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];1292
490822;2011;PL;8053;Altera o art. 636 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 10 de maio de 1943, para dispor sobre a notificação por infração à legislação do trabalho, e dá outras providências.;[('Senado Federal - Gilberto Goellner', 40000, 'Órgão do Poder Legislativo')];907
490823;2011;PL;8054;Consolida a legislação federal de cultura.;[('Senado Federal - Augusto Botelho', 40000, 'Órgão do Poder Legislativo')];907
490824;2011;MPV;523;Autoriza a concessão de subvenção econômica ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES, em operações de financiamento destinadas a capital de giro e investimento de empresas e micro empreendedores individuais localizados em Municípios do Estado do Rio de Janeiro.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];923
490854;2011;MPV;524;"Altera a Lei nº 12.337, de 12 de novembro de 2010, para autorizar a prorrogação de contratos por tempo determinado firmados com fundamento na alínea ""h"" do inciso VI do art. 2º da Lei nº 8.745, de 9 de dezembro de 1993.";[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];1292
490874;2011;MSC;14;Comunica a excelentísssima Senhora Presidenta da República que se ausentará do País no período de 31 de janeiro de 2011, em viagem oficial à Argentina;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];923
490884;2011;PL;1;Modifica os arts. 41, 43 e 51 da Lei nº 8.666, de 21 de junho de 1993, que trata das licitações e contratos da Administração Pública, para o fim de estabelecer que a fase de habilitação nas licitações ocorrerá depois da fase de apreciação das propostas apresentadas, bem como para prever punição administrativa ao licitante de má-fé na hipótese que especifica, e dá outras providências.;[('Maurício Rands', 10000, 'Deputado'), ('Weliton Prado', 10000, 'Deputado')];923
490885;2011;PL;2;Modifica o art. 23 da Lei nº 8.666, de 21 de junho de 1993, que trata das licitações e contratos da Administração Pública, aumentando os limites de enquadramento das modalidades de licitação.;[('Maurício Rands', 10000, 'Deputado'), ('Weliton Prado', 10000, 'Deputado')];None
490886;2011;PL;3;Declara o Movimento Hip Hop manifestação de cultura popular de alcance nacional, e dá outras providências.;[('Maurício Rands', 10000, 'Deputado')];923
490887;2011;REQ;1;Solicita Desarquivamento de suas Proposições em tramitação, nos termos do art. 105 do RICD.;[('Maurício Rands', 10000, 'Deputado'), ('Weliton Prado', 10000, 'Deputado')];None
490888;2011;PL;4;"Dispõe sobre a educação para as artes na educação básica, alterando a redação do art. 26, §2º da Lei nº 9.394, de 20 de dezembro de 1996, que ""estabelece as diretrizes e bases da educação nacional"", e dá outras providências.";[('Weliton Prado', 10000, 'Deputado')];923
490889;2011;PL;5;Dispõe sobre a criação do Programa Nacional de Produção de Biocombustíveis por Cooperativas (PNBC) e dá outras providências.;[('Weliton Prado', 10000, 'Deputado')];None
490890;2011;REQ;2;Requer o envio de Indicação ao Poder Judiciário, por intermédio do Conselho Nacional de Justiça, sugerindo a  realização dos esforços necessários para que o Processo instaurado pelo Tribunal de Justiça de Alagoas,  destinado a julgar as denúncias de fraudes e desvios do Seguro Obrigatório de Danos Pessoais por Veículos Automotores, ou por sua carga, a Pessoas Transportadas ou Não - DPVAT, a atuação das seguradoras, dos hospitais, dos magistrados, dos advogados e dos serventuários envolvidos na suposta fraude, seja avocado pelo CNJ.;[('Maurício Rands', 10000, 'Deputado'), ('Weliton Prado', 10000, 'Deputado')];None
490891;2011;PL;6;Institui benefício fiscal para a atividade de reforma de pneus e altera o percentual de presunção aplicável a referida atividade para apuração da base de cálculo do IRPJ e da CSLL.;[('Weliton Prado', 10000, 'Deputado')];923
